player,percentage_service,games_won_service,games_total_service,matches,year,surface
Jurgen Melzer,72.78%,123,169,15,2007,Clay
Nicolas Lapentti,72.58%,90,124,12,2007,Clay
Stan Wawrinka,72.55%,111,153,12,2007,Clay
Jarkko Nieminen,72.44%,113,156,16,2007,Clay
Jonas Bjorkman,72.00%,126,175,11,2007,Clay
Diego Hartfield,71.96%,213,296,26,2007,Clay
Boris Pashanski,71.79%,84,117,11,2007,Clay
Stefan Koubek,71.43%,125,175,14,2007,Clay
Hyung-Taik Lee,71.43%,60,84,10,2007,Clay
Max Mirnyi,70.71%,70,99,11,2007,Clay
Jan Hajek,70.42%,100,142,13,2007,Clay
Nicolas Devilder,70.16%,134,191,18,2007,Clay
Martin Vassallo Arguello,69.71%,214,307,27,2007,Clay
Lukas Dlouhy,69.44%,75,108,11,2007,Clay
Sergio Roitman,69.34%,190,274,25,2007,Clay
Filippo Volandri,69.23%,234,338,30,2007,Clay
Evgeny Korolev,68.10%,79,116,11,2007,Clay
Vincent Spadea,67.88%,93,137,11,2007,Clay
Gilles Simon,67.81%,217,320,28,2007,Clay
Kristof Vliegen,67.51%,133,197,20,2007,Clay
Alberto Martin,67.27%,74,110,11,2007,Clay
Jiri Vanek,67.24%,78,116,12,2007,Clay
Dominik Hrbaty,66.67%,82,123,11,2007,Clay
Florian Mayer,66.47%,113,170,16,2007,Clay
Guillermo Garcia-Lopez,65.85%,108,164,14,2007,Clay
Olivier Rochus,65.15%,86,132,15,2007,Clay
Ruben Ramirez Hidalgo,64.38%,141,219,20,2007,Clay
Gaston Gaudio,60.22%,109,181,17,2007,Clay
Alessio Di Mauro,59.71%,83,139,14,2007,Clay
Ivo Karlovic,87.71%,157,179,13,2008,Clay
Juan Martin del Potro,85.63%,149,174,18,2008,Clay
Ivan Ljubicic,85.13%,166,195,14,2008,Clay
Nicolas Almagro,85.07%,342,402,38,2008,Clay
Fernando Gonzalez,85.02%,193,227,19,2008,Clay
Novak Djokovic,84.91%,180,212,19,2008,Clay
Feliciano Lopez,84.68%,94,111,11,2008,Clay
Simone Bolelli,84.46%,212,251,21,2008,Clay
Rafael Nadal,84.43%,206,244,25,2008,Clay
Tomas Berdych,84.00%,105,125,12,2008,Clay
Roger Federer,83.88%,255,304,25,2008,Clay
Robin Soderling,83.25%,164,197,18,2008,Clay
Ernests Gulbis,82.24%,125,152,14,2008,Clay
Radek Stepanek,81.68%,107,131,11,2008,Clay
Victor Hanescu,81.64%,169,207,18,2008,Clay
Eduardo Schwank,81.63%,160,196,17,2008,Clay
Paul-Henri Mathieu,81.36%,144,177,13,2008,Clay
Daniel Gimeno-Traver,80.92%,123,152,14,2008,Clay
Igor Andreev,80.87%,317,392,34,2008,Clay
Stan Wawrinka,80.24%,203,253,20,2008,Clay
Carlos Moya,80.13%,250,312,24,2008,Clay
Marin Cilic,80.00%,108,135,11,2008,Clay
Mario Ancic,79.83%,95,119,11,2008,Clay
Richard Gasquet,79.70%,106,133,12,2008,Clay
Nikolay Davydenko,79.66%,235,295,29,2008,Clay
Luis Horna,79.39%,181,228,18,2008,Clay
James Blake,79.27%,153,193,16,2008,Clay
Albert Montanes,79.26%,256,323,29,2008,Clay
Marat Safin,79.08%,155,196,17,2008,Clay
Dmitry Tursunov,78.76%,89,113,10,2008,Clay
Steve Darcis,78.52%,117,149,13,2008,Clay
Nicolas Kiefer,78.40%,98,125,10,2008,Clay
Marcos Daniel,78.26%,126,161,16,2008,Clay
Gael Monfils,78.24%,151,193,14,2008,Clay
Potito Starace,77.90%,282,362,33,2008,Clay
Jose Acasuso,77.78%,231,297,30,2008,Clay
Tommy Robredo,77.50%,248,320,30,2008,Clay
David Nalbandian,77.07%,158,205,23,2008,Clay
Agustin Calleri,76.92%,200,260,25,2008,Clay
Nicolas Lapentti,76.00%,190,250,19,2008,Clay
Guillermo Canas,75.52%,182,241,20,2008,Clay
Oscar Hernandez,75.48%,234,310,27,2008,Clay
Andreas Seppi,75.44%,129,171,18,2008,Clay
Wayne Odesnik,75.00%,99,132,11,2008,Clay
Sam Querrey,74.75%,74,99,10,2008,Clay
Andy Murray,74.45%,102,137,12,2008,Clay
Hyung-Taik Lee,74.19%,69,93,12,2008,Clay
Mikhail Youzhny,74.14%,86,116,10,2008,Clay
Fernando Verdasco,74.10%,226,305,25,2008,Clay
Olivier Rochus,74.10%,103,139,12,2008,Clay
David Ferrer,74.09%,243,328,28,2008,Clay
Fabio Fognini,73.91%,153,207,20,2008,Clay
Julien Benneteau,73.83%,110,149,10,2008,Clay
Guillermo Garcia-Lopez,73.82%,141,191,15,2008,Clay
Marc Gicquel,73.65%,123,167,14,2008,Clay
Jurgen Melzer,73.63%,134,182,15,2008,Clay
Marcel Granollers,72.93%,167,229,21,2008,Clay
Michael Berrer,72.73%,80,110,11,2008,Clay
Philipp Kohlschreiber,72.64%,77,106,12,2008,Clay
Denis Gremelmayr,72.39%,118,163,15,2008,Clay
Martin Vassallo Arguello,72.09%,124,172,14,2008,Clay
Gilles Simon,72.08%,142,197,18,2008,Clay
Evgeny Korolev,72.03%,103,143,13,2008,Clay
Thomas Johansson,71.74%,66,92,10,2008,Clay
Pablo Cuevas,71.50%,143,200,20,2008,Clay
Mischa Zverev,71.31%,87,122,11,2008,Clay
Juan Monaco,71.12%,197,277,28,2008,Clay
Jarkko Nieminen,70.83%,102,144,14,2008,Clay
Santiago Ventura,70.14%,148,211,19,2008,Clay
Sergio Roitman,70.00%,133,190,17,2008,Clay
Teymuraz Gabashvili,69.67%,85,122,11,2008,Clay
Robin Haase,69.57%,64,92,10,2008,Clay
Florent Serra,69.31%,131,189,16,2008,Clay
Ivo Minar,69.09%,114,165,16,2008,Clay
Nicolas Massu,69.09%,76,110,12,2008,Clay
Jiri Vanek,69.07%,134,194,15,2008,Clay
Olivier Patience,68.97%,80,116,10,2008,Clay
Juan Ignacio Chela,68.84%,148,215,20,2008,Clay
Filippo Volandri,67.28%,146,217,21,2008,Clay
Peter Luczak,67.01%,65,97,12,2008,Clay
Boris Pashanski,66.06%,109,165,14,2008,Clay
Carlos Berlocq,64.33%,110,171,14,2008,Clay
Guillermo Coria,57.26%,67,117,10,2008,Clay
Roger Federer,89.64%,225,251,20,2009,Clay
Fernando Gonzalez,88.80%,214,241,19,2009,Clay
Gael Monfils,88.57%,124,140,12,2009,Clay
Ivo Karlovic,88.06%,118,134,12,2009,Clay
Rafael Nadal,84.72%,194,229,26,2009,Clay
Juan Martin del Potro,84.69%,177,209,16,2009,Clay
Nicolas Almagro,84.10%,291,346,30,2009,Clay
Ivan Ljubicic,83.96%,178,212,16,2009,Clay
Robin Soderling,83.73%,247,295,24,2009,Clay
Andreas Beck,83.33%,200,240,20,2009,Clay
Nicolas Kiefer,82.76%,144,174,14,2009,Clay
Marin Cilic,82.61%,133,161,17,2009,Clay
Nikolay Davydenko,82.37%,299,363,32,2009,Clay
Novak Djokovic,82.20%,194,236,23,2009,Clay
Jo-Wilfried Tsonga,81.38%,118,145,12,2009,Clay
Victor Hanescu,81.23%,238,293,26,2009,Clay
Pablo Cuevas,80.91%,178,220,21,2009,Clay
Philipp Kohlschreiber,80.72%,201,249,23,2009,Clay
Feliciano Lopez,80.60%,108,134,11,2009,Clay
Tommy Robredo,80.15%,331,413,37,2009,Clay
Lleyton Hewitt,79.87%,119,149,12,2009,Clay
Simone Bolelli,79.81%,166,208,17,2009,Clay
James Blake,79.56%,109,137,13,2009,Clay
Mikhail Youzhny,79.42%,193,243,19,2009,Clay
Juan Monaco,79.35%,342,431,42,2009,Clay
Jose Acasuso,79.04%,215,272,26,2009,Clay
Igor Andreev,78.63%,195,248,20,2009,Clay
Thomaz Bellucci,78.48%,186,237,24,2009,Clay
Fernando Verdasco,78.40%,167,213,20,2009,Clay
Jeremy Chardy,78.28%,209,267,24,2009,Clay
Simon Greul,78.20%,104,133,13,2009,Clay
Janko Tipsarevic,78.16%,161,206,19,2009,Clay
Jurgen Melzer,77.73%,185,238,23,2009,Clay
Mischa Zverev,77.62%,111,143,13,2009,Clay
Paul-Henri Mathieu,77.29%,177,229,19,2009,Clay
Stan Wawrinka,77.06%,178,231,20,2009,Clay
Lukasz Kubot,77.05%,94,122,11,2009,Clay
Radek Stepanek,76.97%,117,152,14,2009,Clay
Mardy Fish,76.61%,95,124,10,2009,Clay
Julien Benneteau,76.58%,170,222,17,2009,Clay
Albert Montanes,76.51%,241,315,27,2009,Clay
Martin Vassallo Arguello,76.32%,203,266,24,2009,Clay
Ivan Navarro,76.27%,135,177,15,2009,Clay
Brian Dabul,76.12%,102,134,12,2009,Clay
Marcos Daniel,75.78%,97,128,13,2009,Clay
Paul Capdeville,75.66%,115,152,15,2009,Clay
Potito Starace,75.59%,223,295,26,2009,Clay
Tomas Berdych,75.54%,139,184,16,2009,Clay
Andy Murray,75.47%,120,159,13,2009,Clay
Juan Carlos Ferrero,75.46%,206,273,25,2009,Clay
Victor Crivoi,75.40%,95,126,12,2009,Clay
David Ferrer,75.28%,201,267,28,2009,Clay
Guillermo Garcia-Lopez,74.27%,153,206,18,2009,Clay
Fred Gil,74.23%,144,194,17,2009,Clay
Daniel Gimeno-Traver,73.91%,170,230,21,2009,Clay
Marc Gicquel,73.38%,102,139,12,2009,Clay
Nicolas Devilder,73.38%,102,139,10,2009,Clay
Florent Serra,73.27%,148,202,19,2009,Clay
Oscar Hernandez,72.99%,227,311,28,2009,Clay
Gilles Simon,72.73%,152,209,17,2009,Clay
Viktor Troicki,71.50%,148,207,19,2009,Clay
Andreas Seppi,71.31%,174,244,23,2009,Clay
Maximo Gonzalez,71.22%,193,271,22,2009,Clay
Santiago Ventura,70.00%,77,110,10,2009,Clay
Alberto Martin,69.84%,132,189,18,2009,Clay
Evgeny Korolev,69.81%,74,106,10,2009,Clay
Teymuraz Gabashvili,69.68%,108,155,16,2009,Clay
David Nalbandian,69.60%,87,125,11,2009,Clay
Daniel Koellerer,69.46%,116,167,13,2009,Clay
Kristof Vliegen,68.57%,72,105,10,2009,Clay
Juan Ignacio Chela,68.35%,149,218,21,2009,Clay
Marcel Granollers,68.20%,193,283,24,2009,Clay
Nicolas Lapentti,66.92%,89,133,14,2009,Clay
